"Marca","Tamanho do Motor","Preço Médio BRL","Combustível","Idade"
"GM - Chevrolet",1.4,72012,"Gasoline",4
"Fiat",2,6439,"Gasoline",29
"GM - Chevrolet",3.9,52123,"Diesel",32
"GM - Chevrolet",2.5,4022,"Gasoline",38
"VW - VolksWagen",1.4,94909,"Gasoline",7
"GM - Chevrolet",1.8,59898,"Gasoline",6
"Fiat",1.3,11796,"Gasoline",19
"Fiat",1,7415,"Alcohol",25
"Fiat",1.6,5268,"Gasoline",33
"GM - Chevrolet",2.4,29435,"Gasoline",19
"Mercedes-Benz",4,707747,"Gasoline",5
"Mercedes-Benz",5,54219,"Gasoline",26
"GM - Chevrolet",2,17415,"Gasoline",21
"VW - VolksWagen",1,38353,"Gasoline",9
"Ford",1.6,30409,"Gasoline",12
"Ford",3.9,14958,"Diesel",37
"VW - VolksWagen",2,50997,"Gasoline",11
"Ford",1.5,186986,"Gasoline",2
"GM - Chevrolet",2.8,133260,"Diesel",9
"GM - Chevrolet",1.6,16465,"Gasoline",17
"Fiat",1.6,44805,"Gasoline",7
"Fiat",1.6,35253,"Gasoline",9
"VW - VolksWagen",2,20591,"Gasoline",26
"GM - Chevrolet",2,26724,"Gasoline",17
"Ford",1.5,67048,"Gasoline",3
"GM - Chevrolet",2.4,38024,"Gasoline",15
"GM - Chevrolet",2.5,34653,"Diesel",25
"Ford",1.5,46712,"Gasoline",7
"VW - VolksWagen",1.6,35854,"Gasoline",13
"GM - Chevrolet",2.5,23136,"Diesel",27
"Mercedes-Benz",2.2,161077,"Diesel",5
"Ford",3.9,109959,"Diesel",13
"VW - VolksWagen",1.8,15946,"Gasoline",24
"VW - VolksWagen",1,37585,"Gasoline",9
"Fiat",1,41979,"Gasoline",4
"GM - Chevrolet",1.8,58029,"Gasoline",8
"Fiat",1.5,7923,"Alcohol",27
"Fiat",1,8292,"Alcohol",23
"VW - VolksWagen",1.6,26056,"Gasoline",16
"Fiat",2.8,29737,"Diesel",23
"Ford",1.6,18205,"Gasoline",17
"GM - Chevrolet",2.5,106893,"Gasoline",8
"Fiat",1.6,40431,"Gasoline",10
"Fiat",1,12616,"Gasoline",21
"VW - VolksWagen",1.6,5705,"Gasoline",35
"Mercedes-Benz",2.2,222585,"Diesel",1
"Fiat",1.4,39955,"Gasoline",10
"Mercedes-Benz",2,570858,"Gasoline",0
"GM - Chevrolet",1.4,31421,"Gasoline",14
"Ford",1.6,35909,"Gasoline",10
"Fiat",1.8,45414,"Gasoline",10
"Ford",1.8,8571,"Gasoline",24
"Fiat",2.8,35405,"Diesel",20
"Fiat",1.8,45063,"Gasoline",8
"Ford",4,24151,"Gasoline",28
"Mercedes-Benz",2.2,97995,"Diesel",6
"GM - Chevrolet",4,42311,"Diesel",34
"VW - VolksWagen",2,159914,"Diesel",3
"Fiat",1,7885,"Gasoline",29
"Mercedes-Benz",5.5,532685,"Gasoline",7
"VW - VolksWagen",1.6,40376,"Gasoline",10
"VW - VolksWagen",1.6,71867,"Gasoline",2
"Fiat",1.4,30807,"Gasoline",11
"VW - VolksWagen",1.8,9331,"Gasoline",33
"VW - VolksWagen",1.8,24914,"Gasoline",21
"Ford",4,36488,"Gasoline",28
"Ford",4.2,145571,"Diesel",18
"VW - VolksWagen",2,22943,"Gasoline",21
"GM - Chevrolet",1,9883,"Gasoline",24
"Ford",1.6,32712,"Gasoline",14
"VW - VolksWagen",1.6,42862,"Gasoline",10
"Fiat",2.8,30500,"Diesel",22
"VW - VolksWagen",1.8,28054,"Gasoline",23
"Fiat",1.4,35593,"Gasoline",10
"Mercedes-Benz",2.2,149567,"Diesel",4
"Ford",3,59823,"Diesel",15
"VW - VolksWagen",2,30609,"Gasoline",14
"GM - Chevrolet",2.8,362195,"Diesel",0
"GM - Chevrolet",2.5,144040,"Gasoline",5
"Mercedes-Benz",2.2,177831,"Diesel",2
"Fiat",1.8,35084,"Gasoline",9
"Mercedes-Benz",2.2,82253,"Diesel",13
"GM - Chevrolet",2.4,93458,"Gasoline",9
"Mercedes-Benz",2,279790,"Gasoline",3
"Mercedes-Benz",6.3,1011783,"Gasoline",11
"Fiat",1.6,45477,"Gasoline",7
"VW - VolksWagen",2,29316,"Gasoline",16
"GM - Chevrolet",2.8,125966,"Diesel",10
"Ford",2.5,38279,"Diesel",22
"GM - Chevrolet",2.5,7686,"Gasoline",38
"VW - VolksWagen",1,139825,"Gasoline",0
"VW - VolksWagen",1.6,105083,"Gasoline",0
"Fiat",1.4,28150,"Gasoline",12
"GM - Chevrolet",2.2,25120,"Gasoline",25
"GM - Chevrolet",2.1,12693,"Diesel",29
"Fiat",1,8466,"Gasoline",24
"VW - VolksWagen",1.8,21273,"Gasoline",20
"VW - VolksWagen",1.6,87807,"Gasoline",0
"GM - Chevrolet",1.8,61959,"Gasoline",9
"Fiat",1.6,29698,"Gasoline",12
"Fiat",1,68540,"Gasoline",2
"Mercedes-Benz",3,780656,"Diesel",0
"GM - Chevrolet",3.6,43498,"Gasoline",14
"GM - Chevrolet",1.6,17989,"Gasoline",22
"Fiat",1.8,73183,"Gasoline",5
"GM - Chevrolet",1.8,70120,"Gasoline",8
"Ford",1.6,11133,"Gasoline",32
"VW - VolksWagen",1.8,9181,"Gasoline",33
"Mercedes-Benz",2.8,33441,"Gasoline",30
"VW - VolksWagen",1,9235,"Gasoline",22
"GM - Chevrolet",1,20404,"Gasoline",17
"GM - Chevrolet",2,21021,"Gasoline",19
"Ford",1.6,30735,"Gasoline",11
"Ford",3.8,65245,"Gasoline",28
"VW - VolksWagen",1.6,31632,"Gasoline",13
"Fiat",1,20228,"Gasoline",13
"Mercedes-Benz",3.5,282361,"Gasoline",7
"Ford",3.9,126457,"Diesel",12
"VW - VolksWagen",1.6,41332,"Gasoline",12
"VW - VolksWagen",1.8,27288,"Gasoline",17
"Ford",1.8,5346,"Gasoline",31
"GM - Chevrolet",4.1,10817,"Gasoline",37
"GM - Chevrolet",4.1,12434,"Gasoline",36
"GM - Chevrolet",2.2,23870,"Gasoline",24
"Mercedes-Benz",3,29931,"Gasoline",31
"VW - VolksWagen",2,19412,"Gasoline",21
"GM - Chevrolet",3.8,18842,"Gasoline",25
"Ford",1.6,32983,"Gasoline",12
"VW - VolksWagen",1.6,7637,"Gasoline",33
"Fiat",1,25096,"Gasoline",14
"GM - Chevrolet",1.8,18800,"Gasoline",18
"Mercedes-Benz",2.3,28970,"Gasoline",30
"Mercedes-Benz",3.5,63555,"Gasoline",17
"Ford",2,16117,"Gasoline",22
"Fiat",1.4,74209,"Gasoline",4
"Fiat",1,11284,"Gasoline",23
"Fiat",1.6,9265,"Gasoline",29
"Fiat",1.8,27221,"Gasoline",14
"VW - VolksWagen",1.8,37970,"Gasoline",15
"VW - VolksWagen",1,41234,"Gasoline",8
"GM - Chevrolet",4.3,19242,"Gasoline",26
"Ford",2.5,54169,"Diesel",22
"GM - Chevrolet",1.8,56092,"Gasoline",7
"VW - VolksWagen",2,29870,"Gasoline",16
"GM - Chevrolet",2,39443,"Gasoline",12
"Fiat",1,65684,"Gasoline",2
"VW - VolksWagen",1.4,107567,"Gasoline",5
"Ford",1.5,68562,"Gasoline",2
"VW - VolksWagen",2,57450,"Gasoline",10
"Fiat",1.4,32470,"Gasoline",11
"Ford",3.9,122265,"Diesel",12
"Ford",2,17518,"Gasoline",19
"Mercedes-Benz",5,46378,"Gasoline",29
"GM - Chevrolet",1.4,42983,"Gasoline",9
"Mercedes-Benz",6,41508,"Gasoline",30
"Ford",1.8,3230,"Gasoline",38
"GM - Chevrolet",4.1,16172,"Gasoline",37
"Mercedes-Benz",4,2153854,"Gasoline",3
"GM - Chevrolet",1,14906,"Gasoline",19
"Mercedes-Benz",2.2,224681,"Diesel",1
"Ford",2.3,47087,"Gasoline",15
"GM - Chevrolet",2.8,140894,"Diesel",6
"VW - VolksWagen",1.6,45445,"Gasoline",8
"Ford",1.6,6581,"Gasoline",30
"GM - Chevrolet",5.7,287226,"Gasoline",13
"Fiat",2.3,149926,"Diesel",5
"Ford",3.9,44628,"Diesel",31
"Ford",4,22021,"Gasoline",28
"Ford",2.8,42196,"Diesel",20
"Ford",1,56965,"Gasoline",2
"VW - VolksWagen",1.6,14634,"Gasoline",30
"VW - VolksWagen",1.6,12956,"Gasoline",24
"VW - VolksWagen",2.8,28990,"Gasoline",19
"GM - Chevrolet",1.8,56746,"Gasoline",11
"Fiat",2.3,196387,"Diesel",3
"VW - VolksWagen",1.8,13741,"Gasoline",29
"Fiat",1.5,5189,"Gasoline",35
"Ford",3.9,34547,"Diesel",31
"VW - VolksWagen",1.6,19854,"Gasoline",16
